hostname,id,location,family,platformId,role,serialNumber,upTime,errorCode
PTT-TH-HO-B1-FL13-AP3802I-2,c3d5b632-89ea-4c93-b55e-4754128b9159,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABYF,"69 days, 01:15:06.200",null
PTT-TH-HO-B1-FL13-AP3802I-3,579bf5bf-dc21-4c8a-b3c1-d9536f6c6484,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7D,"69 days, 01:29:14.370",null
PTT-TH-HO-B1-FL13-AP3802I-4,1613f9f8-c6e4-4cf3-a571-ee96cb2dec31,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABXF,"69 days, 01:20:12.580",null
PTT-TH-HO-B1-FL13-AP3802I-5,f440e192-4f0e-4022-b432-4272ecf41c58,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWU,"69 days, 01:27:58.540",null
PTT-TH-HO-B1-FL13-AP3802I-6,ecaf40d7-e299-4ed5-b97c-3d16aa0c7a11,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABUK,"69 days, 01:26:02.230",null
PTT-TH-HO-B1-FL13-AP3802I-7,97001ca2-4db8-456e-9118-f7e8388e549c,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7Y,"69 days, 01:22:32.700",null
PTT-TH-HO-B1-FL13-AP3802I-8,1b179a45-204f-43c7-bdb8-ece86c1024f8,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC5Z,"69 days, 01:27:24.260",null
PTT-TH-HO-B1-FL13-AP3802I-9,ae22ce34-58e8-49fd-99cd-7374df821849,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABUZ,"69 days, 01:18:08.200",null
PTT-TH-HO-B1-FL14-AP3802I-1,b3e2f97f-81b2-4214-9ce2-89b7331b115b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABZC,"69 days, 01:27:30.520",null
PTT-TH-HO-B1-FL14-AP3802I-2,8255e7a1-fc6b-4614-8637-07e1187b784e,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABY4,"58 days, 06:28:33.590",null
PTT-TH-HO-B1-FL14-AP3802I-3,a9f00750-5383-4940-8a93-bdd0d308ae7e,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC2R,"69 days, 01:20:02.500",null
PTT-TH-HO-B1-FL14-AP3802I-4,d841a5fd-eb55-4100-8908-d79a1b503465,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACEA,"69 days, 01:28:51.400",null
PTT-TH-HO-B1-FL14-AP3802I-5,48ad7503-50cf-46c6-aad4-718c1d45a228,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC2B,"69 days, 01:50:15.500",null
PTT-TH-HO-B1-FL14-AP3802I-6,7b2f9bc8-2346-469c-89b0-32b3132b607b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWW,"69 days, 01:29:30.640",null
PTT-TH-HO-B1-FL14-AP3802I-7,a12ece90-f66c-4396-945e-1dc389d08ea7,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABVL,"69 days, 01:26:44.620",null
PTT-TH-HO-B1-FL14-AP3802I-8,4fe07301-2c32-48e2-a8fa-990d258bf9fc,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABVK,"69 days, 01:26:46.290",null
PTT-TH-HO-B1-FL15-AP3802I-1,1f57fbf6-ec3e-4e57-975f-c3b1bb85a3c0,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABZA,"69 days, 01:25:41.300",null
PTT-TH-HO-B1-FL15-AP3802I-2,7f81b511-2f98-4d81-a406-2190438a3165,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC2P,"69 days, 01:18:47.430",null
PTT-TH-HO-B1-FL15-AP3802I-3,62e1303c-4a85-4942-ae48-7b846cab63ea,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC95,"69 days, 01:27:14.270",null
PTT-TH-HO-B1-FL15-AP3802I-4,0617095a-efd8-4b5c-8c32-43d1e32cfa5e,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC15,"69 days, 01:27:44.530",null
PTT-TH-HO-B1-FL15-AP3802I-5,d4a795bf-4a8b-488c-8ee3-992570b7f455,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACEM,"69 days, 01:23:28.570",null
PTT-TH-HO-B1-FL15-AP3802I-6,c41d77dc-632a-4256-95a3-f8e80fad03cc,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABX0,"69 days, 01:25:08.490",null
PTT-TH-HO-B1-FL15-AP3802I-7,d8cae5da-009d-4c73-9723-35ebe619c612,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACEL,"69 days, 01:20:44.270",null
PTT-TH-HO-B1-FL15-AP3802I-8,4a539090-d157-49c9-b305-a1cc806fd550,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1Y,"69 days, 02:03:00.510",null
PTT-TH-HO-B1-FL16-AP3802I-1,0bfa73a8-bafd-4238-a1bf-6876596282c1,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1S,"69 days, 01:25:19.430",null
PTT-TH-HO-B1-FL16-AP3802I-2,e0a609c6-f69c-4f84-8db3-9c5961c43b53,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABXU,"69 days, 01:25:15.490",null
