hostname,id,location,family,platformId,role,serialNumber,upTime,errorCode
PTT-TH-HO-B1-FL13-AP3802I-3,579bf5bf-dc21-4c8a-b3c1-d9536f6c6484,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7D,15days 21:26:25.610,null
PTT-TH-HO-B1-FL13-AP3802I-4,1613f9f8-c6e4-4cf3-a571-ee96cb2dec31,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABXF,15days 20:10:02.380,null
PTT-TH-HO-B1-FL13-AP3802I-5,f440e192-4f0e-4022-b432-4272ecf41c58,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWU,19days 20:17:49.280,null
PTT-TH-HO-B1-FL13-AP3802I-6,ecaf40d7-e299-4ed5-b97c-3d16aa0c7a11,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABUK,109days 20:19:01.160,null
PTT-TH-HO-B1-FL13-AP3802I-7,97001ca2-4db8-456e-9118-f7e8388e549c,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7Y,19days 20:12:23.970,null
PTT-TH-HO-B1-FL13-AP3802I-8,1b179a45-204f-43c7-bdb8-ece86c1024f8,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC5Z,19days 20:17:15.260,null
PTT-TH-HO-B1-FL13-AP3802I-9,ae22ce34-58e8-49fd-99cd-7374df821849,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABUZ,15days 20:02:26.050,null
PTT-TH-HO-B1-FL14-AP3802I-1,b3e2f97f-81b2-4214-9ce2-89b7331b115b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABZC,15days 20:14:38.260,null
PTT-TH-HO-B1-FL14-AP3802I-2,8255e7a1-fc6b-4614-8637-07e1187b784e,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABY4,15days 01:18:24.460,null
PTT-TH-HO-B1-FL14-AP3802I-3,a9f00750-5383-4940-8a93-bdd0d308ae7e,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC2R,15days 01:41:20.160,null
PTT-TH-HO-B1-FL14-AP3802I-4,d841a5fd-eb55-4100-8908-d79a1b503465,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACEA,15days 20:15:56.680,null
PTT-TH-HO-B1-FL14-AP3802I-5,48ad7503-50cf-46c6-aad4-718c1d45a228,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC2B,9days 20:37:14.160,null
PTT-TH-HO-B1-FL14-AP3802I-6,7b2f9bc8-2346-469c-89b0-32b3132b607b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWW,15days 20:16:35.790,null
PTT-TH-HO-B1-FL14-AP3802I-7,a12ece90-f66c-4396-945e-1dc389d08ea7,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABVL,19days 20:16:40.560,null
PTT-TH-HO-B1-FL14-AP3802I-8,4fe07301-2c32-48e2-a8fa-990d258bf9fc,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABVK,19days 20:16:39.370,null
PTT-TH-HO-B1-FL15-AP3802I-1,1f57fbf6-ec3e-4e57-975f-c3b1bb85a3c0,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABZA,15days 20:10:04.460,null
PTT-TH-HO-B1-FL15-AP3802I-2,7f81b511-2f98-4d81-a406-2190438a3165,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC2P,15days 20:03:06.870,null
PTT-TH-HO-B1-FL15-AP3802I-3,62e1303c-4a85-4942-ae48-7b846cab63ea,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC95,15days 20:11:34.270,null
PTT-TH-HO-B1-FL15-AP3802I-4,0617095a-efd8-4b5c-8c32-43d1e32cfa5e,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC15,15days 20:14:50.270,null
PTT-TH-HO-B1-FL15-AP3802I-5,d4a795bf-4a8b-488c-8ee3-992570b7f455,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACEM,15days 20:13:22.370,null
PTT-TH-HO-B1-FL15-AP3802I-6,c41d77dc-632a-4256-95a3-f8e80fad03cc,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABX0,13days 20:12:16.080,null
PTT-TH-HO-B1-FL15-AP3802I-7,d8cae5da-009d-4c73-9723-35ebe619c612,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACEL,109days 20:13:43.270,null
PTT-TH-HO-B1-FL15-AP3802I-8,4a539090-d157-49c9-b305-a1cc806fd550,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1Y,15days 20:50:04.170,null
PTT-TH-HO-B1-FL16-AP3802I-1,0bfa73a8-bafd-4238-a1bf-6876596282c1,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1S,8days 02:03:57.860,null
PTT-TH-HO-B1-FL16-AP3802I-2,e0a609c6-f69c-4f84-8db3-9c5961c43b53,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABXU,13days 20:09:36.080,null
PTT-TH-HO-B1-FL16-AP3802I-3,924645e0-2ee9-48ca-96b3-bd727b667163,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABV1,15days 22:59:59.060,null
PTT-TH-HO-B1-FL16-AP3802I-4,36f0b56a-3c4c-49e6-87b9-238ae1125ead,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7S,18days 03:19:12.380,null
PTT-TH-HO-B1-FL16-AP3802I-5,0c09e938-3cb5-4139-b9f1-d3f811364160,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWT,109days 20:16:53.360,null
PTT-TH-HO-B1-FL16-AP3802I-6,10579137-f31e-4c87-8efd-832dda573023,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACBK,13days 20:12:17.060,null
PTT-TH-HO-B1-FL16-AP3802I-7,a8807f01-5c42-4fd3-8f41-4e63b8d4be99,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC0X,15days 20:14:50.270,null
PTT-TH-HO-B1-FL16-AP3802I-8,67963633-0e5f-42c4-ba0f-94183d6f1149,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACBE,13days 20:46:59.760,null
PTT-TH-HO-B1-FL17-AP3802I-1,89e2949d-dd7a-4ef5-989a-15fb9a4fe010,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC28,15days 20:16:00.860,null
PTT-TH-HO-B1-FL17-AP3802I-2,c3257c95-f176-4aaf-af18-5a0faf1a85df,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC7R,16days 10:50:42.060,null
PTT-TH-HO-B1-FL17-AP3802I-3,24130bf6-d59e-46a2-9b3d-ffa0cba5115a,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACCF,13days 20:13:06.760,null
PTT-TH-HO-B1-FL17-AP3802I-4,d20692d0-93a7-4a9f-bfbc-99ab3383b38b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACCN,13days 20:07:04.960,null
PTT-TH-HO-B1-FL17-AP3802I-5,a7bdd745-ec44-41b7-a458-b9a0642a5b28,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACAB,109days 20:17:30.180,null
PTT-TH-HO-B1-FL17-AP3802I-6,51357527-c779-4e68-b706-8b078191e5f4,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1J,109days 20:13:59.260,null
PTT-TH-HO-B1-FL17-AP3802I-7,45f20e3d-9143-4716-8620-9f2a46d120e3,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1V,5days 20:13:46.250,null
PTT-TH-HO-B1-FL17-AP3802I-8,a4805fa3-ac69-4438-86eb-b508f09c7102,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACAA,109days 20:16:33.370,null
PTT-TH-HO-B1-FL18-AP3802I-1,4dc0dd97-abf3-446d-8d54-d2c4064d5f31,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACAC,15days 20:19:08.760,null
PTT-TH-HO-B1-FL18-AP3802I-2,175bc4e7-346d-4d73-af48-d78eb214e895,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACBN,17days 22:04:32.850,null
PTT-TH-HO-B1-FL18-AP3802I-3,644b8ca6-1dce-4952-8a89-a82aa85851f2,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC6V,15days 20:12:15.370,null
PTT-TH-HO-B1-FL18-AP3802I-4,72185fef-73b9-405f-b4d9-98f0a2a447bd,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1Z,9days 20:13:27.970,null
PTT-TH-HO-B1-FL18-AP3802I-5,0003de1a-714e-4fd4-bb48-c35f04279b0f,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC90,19days 20:18:01.670,null
PTT-TH-HO-B1-FL18-AP3802I-6,72e0687d-16b8-4231-bbbb-048278e9c066,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABXE,13days 14:33:20.170,null
PTT-TH-HO-B1-FL18-AP3802I-7,21384d1c-df43-4e24-a3f3-3914e1dc1ac0,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABX6,15days 20:14:22.170,null
PTT-TH-HO-B1-FL18-AP3802I-8,7b702908-1a2b-4d7f-b65e-7dfb4f59ae16,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC16,109days 20:20:50.270,null
PTT-TH-HO-B1-FL19-AP3802I-1,ada7d161-8b14-4f1c-98d2-282720b101b3,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC8W,15days 20:04:52.270,null
PTT-TH-HO-B1-FL19-AP3802I-2,47ce0600-ec8f-4964-a896-5f71c81d2768,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABV7,13days 20:17:02.860,null
PTT-TH-HO-B1-FL19-AP3802I-3,f9e7025c-5241-42c4-b11d-8ac4a95b65ec,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABTY,109days 20:21:57.610,null
PTT-TH-HO-B1-FL19-AP3802I-4,e9ca8ffd-3feb-4e1e-b33c-8752e506056d,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABXG,15days 20:13:23.790,null
PTT-TH-HO-B1-FL19-AP3802I-5,3d5c5f58-f700-4358-bb5d-6d211b84bae2,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC1G,13days 20:12:07.270,null
PTT-TH-HO-B1-FL19-AP3802I-6,e5700ed4-d5c4-4865-87b2-28e572c6676d,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABY1,13days 20:13:30.470,null
PTT-TH-HO-B1-FL19-AP3802I-7,81f59a81-34fb-46b3-9f11-44e2c265400b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABX1,19days 20:19:14.790,null
PTT-TH-HO-B1-FL19-AP3802I-8,ef285f8f-0a2d-47d3-ad39-1840c21e1691,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC19,15days 20:13:26.790,null
PTT-TH-HO-B1-FL1-AP3802I-1,3c276db7-d5f7-41d6-9f5d-fbbfe5c4138b,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWR,15days 20:12:35.550,null
PTT-TH-HO-B1-FL1-AP3802I-2,529f512e-96ae-4910-a567-bd8d5be22dbe,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABYD,13days 20:08:46.350,null
